id,What is your gender?,What is your age?,What was the most important consideration for you in choosing this product?,Another question 1,Another question 2,Yet another question,Another quality,Another quality 2,Yet another quality
1,Bigender,39,,,,,,,
2,Agender,51,Brand,neutral,somewhat disagree,neutral,Price,Design,Positive Reviews
3,Genderfluid,59,Brand,somewhat likely,neutral,somewhat interested,Price,Design,Positive Reviews
4,Genderqueer,41,Brand,neutral,somewhat agree,somewhat interested,Price,Design,Positive Reviews
5,Bigender,25,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
6,Non-binary,21,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
7,Genderfluid,58,,,,,,,
8,Bigender,17,Brand,very likely,neutral,somewhat interested,Price,Design,Positive Reviews
9,Male,45,,,,,,,
10,Polygender,39,Brand,very likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
11,Female,70,,,,,,,
12,Male,62,,,,,,,
13,Bigender,41,Brand,somewhat likely,strongly agree,neutral,Price,Design,Positive Reviews
14,Genderfluid,67,Brand,neutral,neutral,not interested,Price,Design,Positive Reviews
15,Polygender,17,Brand,very likely,neutral,neutral,Price,Design,Positive Reviews
16,Polygender,52,Brand,somewhat unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
17,Non-binary,46,Brand,somewhat unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
18,Bigender,19,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
19,Genderqueer,33,,,,,,,
20,Non-binary,47,Brand,somewhat likely,strongly disagree,neutral,Price,Design,Positive Reviews
21,Bigender,24,,,,,,,
22,Genderfluid,35,,,,,,,
23,Non-binary,77,Brand,somewhat unlikely,strongly agree,not interested,Price,Design,Positive Reviews
24,Genderqueer,41,Brand,neutral,strongly disagree,very interested,Price,Design,Positive Reviews
25,Genderqueer,37,Brand,somewhat likely,neutral,somewhat interested,Price,Design,Positive Reviews
26,Genderfluid,25,,,,,,,
27,Bigender,51,,,,,,,
28,Female,72,,,,,,,
29,Bigender,30,Brand,very likely,neutral,not interested,Price,Design,Positive Reviews
30,Genderfluid,26,Brand,very unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
31,Genderfluid,39,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
32,Agender,37,Brand,somewhat likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
33,Non-binary,71,,,,,,,
34,Genderqueer,74,,,,,,,
35,Female,53,,,,,,,
36,Bigender,33,,,,,,,
37,Agender,16,,,,,,,
38,Genderfluid,52,Brand,somewhat unlikely,strongly agree,neutral,Price,Design,Positive Reviews
39,Non-binary,48,,,,,,,
40,Genderqueer,21,,,,,,,
41,Male,62,Brand,neutral,strongly disagree,very interested,Price,Design,Positive Reviews
42,Genderqueer,59,Brand,somewhat likely,somewhat agree,not interested,Price,Design,Positive Reviews
43,Genderqueer,69,Brand,somewhat likely,strongly agree,neutral,Price,Design,Positive Reviews
44,Genderqueer,80,,,,,,,
45,Male,19,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
46,Non-binary,72,Brand,neutral,somewhat disagree,neutral,Price,Design,Positive Reviews
47,Polygender,35,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
48,Bigender,60,,,,,,,
49,Non-binary,48,Brand,neutral,somewhat disagree,not interested,Price,Design,Positive Reviews
50,Genderqueer,62,Brand,somewhat unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
51,Male,33,,,,,,,
52,Polygender,65,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
53,Bigender,71,Brand,very unlikely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
54,Genderqueer,22,,,,,,,
55,Male,28,Brand,neutral,strongly disagree,somewhat interested,Price,Design,Positive Reviews
56,Agender,68,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
57,Male,74,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
58,Agender,57,,,,,,,
59,Agender,62,,,,,,,
60,Genderfluid,79,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
61,Genderfluid,64,,,,,,,
62,Genderfluid,80,,,,,,,
63,Bigender,47,Brand,neutral,neutral,very interested,Price,Design,Positive Reviews
64,Bigender,18,,,,,,,
65,Female,51,,,,,,,
66,Polygender,20,,,,,,,
67,Genderqueer,59,,,,,,,
68,Male,48,Brand,very likely,strongly disagree,very interested,Price,Design,Positive Reviews
69,Non-binary,52,Brand,somewhat likely,strongly agree,neutral,Price,Design,Positive Reviews
70,Genderqueer,61,Brand,very unlikely,strongly agree,very interested,Price,Design,Positive Reviews
71,Non-binary,22,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
72,Female,72,,,,,,,
73,Agender,17,Brand,very likely,somewhat agree,very interested,Price,Design,Positive Reviews
74,Genderqueer,74,Brand,somewhat unlikely,neutral,very interested,Price,Design,Positive Reviews
75,Female,48,Brand,very likely,neutral,not interested,Price,Design,Positive Reviews
76,Genderfluid,41,,,,,,,
77,Agender,57,,,,,,,
78,Polygender,77,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
79,Female,72,Brand,very unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
80,Genderfluid,30,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
81,Genderqueer,70,,,,,,,
82,Non-binary,77,Brand,somewhat unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
83,Non-binary,35,,,,,,,
84,Non-binary,79,,,,,,,
85,Male,39,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
86,Female,45,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
87,Non-binary,59,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
88,Bigender,72,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
89,Agender,37,Brand,neutral,strongly disagree,somewhat interested,Price,Design,Positive Reviews
90,Bigender,78,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
91,Male,62,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
92,Female,66,,,,,,,
93,Bigender,73,,,,,,,
94,Genderqueer,59,,,,,,,
95,Genderqueer,18,Brand,very unlikely,neutral,very interested,Price,Design,Positive Reviews
96,Genderqueer,71,Brand,somewhat likely,somewhat agree,not interested,Price,Design,Positive Reviews
97,Polygender,51,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
98,Male,16,Brand,very likely,strongly agree,very interested,Price,Design,Positive Reviews
99,Male,32,Brand,somewhat unlikely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
100,Genderfluid,55,,,,,,,
101,Polygender,70,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
102,Male,68,Brand,very unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
103,Genderfluid,38,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
104,Male,77,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
105,Genderfluid,75,,,,,,,
106,Male,57,Brand,neutral,somewhat disagree,very interested,Price,Design,Positive Reviews
107,Genderqueer,68,Brand,somewhat likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
108,Male,31,Brand,very unlikely,strongly agree,neutral,Price,Design,Positive Reviews
109,Agender,38,,,,,,,
110,Genderqueer,21,Brand,very likely,strongly disagree,very interested,Price,Design,Positive Reviews
111,Male,24,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
112,Female,67,Brand,somewhat likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
113,Female,32,,,,,,,
114,Female,17,Brand,very likely,neutral,very interested,Price,Design,Positive Reviews
115,Polygender,74,Brand,somewhat likely,somewhat agree,very interested,Price,Design,Positive Reviews
116,Non-binary,72,,,,,,,
117,Agender,68,Brand,somewhat likely,somewhat disagree,neutral,Price,Design,Positive Reviews
118,Agender,75,,,,,,,
119,Bigender,76,Brand,somewhat unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
120,Bigender,41,,,,,,,
121,Non-binary,66,,,,,,,
122,Agender,78,Brand,very likely,strongly agree,neutral,Price,Design,Positive Reviews
123,Genderfluid,42,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
124,Genderqueer,16,Brand,very likely,somewhat disagree,very interested,Price,Design,Positive Reviews
125,Genderqueer,66,,,,,,,
126,Agender,73,,,,,,,
127,Genderfluid,45,Brand,somewhat unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
128,Female,27,Brand,very unlikely,strongly agree,neutral,Price,Design,Positive Reviews
129,Genderqueer,77,,,,,,,
130,Male,31,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
131,Genderfluid,76,Brand,somewhat unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
132,Bigender,48,,,,,,,
133,Genderqueer,57,Brand,somewhat likely,somewhat agree,neutral,Price,Design,Positive Reviews
134,Bigender,65,,,,,,,
135,Non-binary,20,,,,,,,
136,Female,65,Brand,somewhat likely,strongly agree,not interested,Price,Design,Positive Reviews
