id,What is your gender?,What is your age?,What was the most important consideration for you in choosing this product?,How interested are you in the following benefits,Unnamed 4,Unnamed 5,Unnamed 6
1,Male,39,Positive Reviews,Somewhat uninterested,Very uninterested,Neutral,Very uninterested
2,Male,62,Positive Reviews,Somewhat uninterested,Very interested,Somewhat uninterested,Very interested
3,Female,21,Positive Reviews,Somewhat uninterested,Somewhat interested,Neutral,Neutral
4,Female,33,Personalization,Somewhat uninterested,Very interested,Very uninterested,Somewhat interested
5,Female,49,Positive Reviews,Very interested,Very uninterested,Very interested,Somewhat interested
6,Female,48,Personalization,Somewhat interested,Very interested,Somewhat uninterested,Very interested
7,Male,34,Positive Reviews,Neutral,Neutral,Somewhat interested,Very interested
8,Female,72,Positive Reviews,Very interested,Somewhat uninterested,Neutral,Neutral
9,Male,40,Personalization,Somewhat uninterested,Very interested,Somewhat interested,Very interested
10,Female,35,Price,Very interested,Somewhat interested,Very interested,Very interested
11,Female,63,Design,Somewhat interested,Neutral,Neutral,Somewhat uninterested
12,Male,41,Design,Very interested,Neutral,Very interested,Very uninterested
13,Male,75,Price,Somewhat uninterested,Neutral,Neutral,Very uninterested
14,Female,56,Positive Reviews,Neutral,Somewhat uninterested,Very uninterested,Very interested
15,Female,69,Design,Very interested,Neutral,Very uninterested,Somewhat interested
16,Female,36,Design,Very uninterested,Somewhat interested,Somewhat interested,Somewhat interested
17,Male,58,Positive Reviews,Neutral,Somewhat uninterested,Somewhat uninterested,Very interested
18,Male,59,Positive Reviews,Somewhat interested,Somewhat interested,Very uninterested,Very uninterested
19,Male,43,Design,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat uninterested
20,Male,15,Design,Very interested,Very uninterested,Very interested,Somewhat interested
21,Female,50,Personalization,Somewhat uninterested,Very interested,Neutral,Very interested
22,Male,16,Design,Neutral,Very uninterested,Very uninterested,Neutral
23,Male,40,Design,Somewhat uninterested,Somewhat interested,Very uninterested,Very interested
24,Male,18,Design,Very uninterested,Very uninterested,Very uninterested,Very uninterested
25,Male,69,Positive Reviews,Very uninterested,Very interested,Very uninterested,Somewhat uninterested
26,Female,52,Personalization,Neutral,Somewhat uninterested,Very interested,Very uninterested
27,Female,34,Positive Reviews,Somewhat interested,Somewhat uninterested,Very interested,Very interested
28,Male,21,Positive Reviews,Somewhat uninterested,Very uninterested,Very uninterested,Somewhat uninterested
29,Male,73,Personalization,Very uninterested,Very interested,Somewhat uninterested,Neutral
